Unnamed: 0;Melanoma;Hígado;Páncreas;Pulmón;Estómago;Colon;Pecho;Riñón;Cluster;
ENPP2;1.4444394;1.5389762;-0.4335968;-0.3475787;-8.51;1.9374138;-2.3849133;-0.65;0;ENPP2
LPAR1;0.7968169;-1.9779723;-0.5348817;0.0642037;-2.16;0.2330602;-0.6004597;-0.0977;0;LPAR1
LPAR6;-0.4999335;-0.1670744;-0.1025446;-0.7217962;-0.0164;1.3136032;-0.7805562;1.42;0;LPAR6
ITGA2B;3.8862048;-1.1126371;;-4.1296838;-0.556;1.493214;-0.4032822;-1.72;0;ITGA2B
ITGA5;0.9693085;0.4115225;0.48931;-0.8980229;-2.22;4.6953135;-0.110151;1.63;0;ITGA5
ITGA8;-0.310376;-1.1925837;0.4843292;-2.9038047;-12.7;0.739392;0.0855389;-0.959;0;ITGA8
ITGAV;0.7925728;0.5760477;0.5561958;0.5907626;0.0678;1.1410323;0.0449545;0.42;0;ITGAV
ITGB1;-0.996799;0.552024;0.728753;-0.6252232;0.276;0.7233876;-0.1463372;0.676;0;ITGB1
ITGB3;-1.144571;-0.0657738;0.6071479;-2.7238796;-7.75;2.4423436;0.1295998;-1.07;0;ITGB3
ITGB5;-0.5262384;0.2246779;0.718085;0.7324724;0.687;0.744216;0.06094;0.0649;0;ITGB5
PLPP1;-0.3015784;1.0421775;-0.672535;-0.9435132;-0.88;1.3912321;-1.5218176;-0.817;0;PLPP1
PLPP3;-0.8354526;-0.3705392;-0.675049;-1.0637061;-3.37;1.970652;-1.2657486;0.0745;0;PLPP3
LPAR2;-0.5768955;-1.198546;0.1871459;0.6766365;0.663;1.0882946;1.3173171;1.73;1;LPAR2
LPAR3;-0.4825462;;-1.659611;1.1152691;-4.75;0.7728205;0.3466343;6.76;1;LPAR3
LPAR4;0.2828018;;0.0182588;3.1671698;;1.6927397;0.6628304;0.824;1;LPAR4
LPAR5;-0.6089465;-1.473513;0.7703643;1.5051163;0.291;-0.5170616;3.0073134;3.23;1;LPAR5
ITGB6;-1.4349358;-2.6953268;2.002117;1.4224514;-0.00946;1.0677704;0.707796;-0.22;1;ITGB6
ITGB8;-1.4803148;-1.8543347;0.9043971;2.0621197;1.58;0.5832066;0.5846342;1.53;1;ITGB8
PLPP2;;1.4042937;0.420685;2.0604764;1.97;1.4095623;1.3438832;3.72;1;PLPP2
